,a_score,a_tid,away_percentage,h_score,h_tid,home_percentage,round,season,win_tid,home_last_season_percentage,away_last_season_percentage,home_team_win
4,56,103,0.763074484945,71,102,0.910981697171,R13,2006,102,0.988447319778,0.755056179775,1
5,55,107,1.06220546654,147,101,1.64303797468,R13,2006,101,1.36453526697,1.11962224554,1
6,45,104,1.30037313433,92,114,0.793650793651,R13,2006,114,0.923287671233,0.776907216495,1
7,73,118,1.1494057725,64,117,1.1723466407,R13,2006,118,1.23958333333,1.01446193109,0
0,88,105,0.754948805461,125,106,0.857142857143,R14,2006,106,1.0014720314,0.920069504778,1
1,114,117,1.15272727273,104,110,0.789634146341,R14,2006,117,0.821752265861,1.23958333333,0
2,142,107,0.978476821192,77,103,0.764441110278,R14,2006,107,0.755056179775,1.11962224554,0
3,90,102,0.926868044515,98,111,1.1637630662,R14,2006,111,0.958075904678,0.988447319778,1
4,92,114,0.836781609195,54,113,0.934268833087,R14,2006,114,0.98160696999,0.923287671233,0
5,101,101,1.7100591716,62,116,1.22592945663,R14,2006,101,1.16391509434,1.36453526697,0
6,94,112,0.821292775665,82,118,1.14895330113,R14,2006,112,1.01446193109,0.992266795553,0
7,63,104,1.23625429553,122,115,1.12045889101,R14,2006,115,1.33277962348,0.776907216495,1
0,70,111,1.15831987076,52,114,0.871228844739,R15,2006,111,0.923287671233,0.958075904678,0
1,74,115,1.16681695221,71,105,0.750943396226,R15,2006,115,0.920069504778,1.33277962348,0
2,73,110,0.799438990182,109,101,1.70452039691,R15,2006,101,1.36453526697,0.821752265861,1
3,65,116,1.17217391304,67,117,1.14784053156,R15,2006,117,1.23958333333,1.16391509434,1
4,85,102,0.926253687316,84,112,0.840372226199,R15,2006,102,0.992266795553,0.988447319778,0
5,58,113,0.912171507607,68,107,1.03035019455,R15,2006,107,1.11962224554,0.98160696999,1
6,119,106,0.894897182026,104,104,1.16796267496,R15,2006,106,0.776907216495,1.0014720314,0
7,110,118,1.12949101796,80,103,0.743050847458,R15,2006,118,0.755056179775,1.01446193109,0
0,52,112,0.848852901484,124,101,1.6887755102,R16,2006,101,1.36453526697,0.992266795553,1
1,105,103,0.741955835962,105,105,0.760216346154,R16,2006,100,0.920069504778,0.755056179775,0
2,90,117,1.14184397163,127,104,1.14306049822,R16,2006,104,0.776907216495,1.23958333333,1
3,74,110,0.790228013029,84,102,0.93125,R16,2006,102,0.988447319778,0.821752265861,1
4,53,114,0.864940517845,101,116,1.16105176664,R16,2006,116,1.16391509434,0.923287671233,1
5,60,113,0.909511228534,64,115,1.1593220339,R16,2006,115,1.33277962348,0.98160696999,1
6,89,118,1.14336158192,90,107,1.03648548027,R16,2006,107,1.11962224554,1.01446193109,1
7,67,111,1.16589147287,96,106,0.913196894848,R16,2006,106,1.0014720314,0.958075904678,1
0,68,110,0.794935145151,113,104,1.15919732441,R17,2006,104,0.776907216495,0.821752265861,1
1,83,101,1.7238372093,165,117,1.10243553009,R17,2006,117,1.23958333333,1.36453526697,1
2,174,115,1.15483870968,71,114,0.842483660131,R17,2006,115,0.923287671233,1.33277962348,0
3,77,116,1.19212598425,50,113,0.910646387833,R17,2006,116,0.98160696999,1.16391509434,0
4,123,102,0.941215323646,160,105,0.774448841153,R17,2006,105,0.920069504778,0.988447319778,1
