mid,season,round,tid1,tid2,tid1_loc,tid2_loc,start_dt,venue,att,margin,win_score,win_tid,win_loc,lose_score,lose_loc,lose_tid,h_tid,h_score,h_q1g,h_q2g,h_q3g,h_q4g,h_etg,h_q1b,h_q2b,h_q3b,h_q4b,h_etb,a_tid,a_score,a_q1g,a_q2g,a_q3g,a_q4g,a_etg,a_q1b,a_q2b,a_q3b,a_q4b,a_etb
2009_SF_101_104,2009,SF,101,104,a,h,2009-09-12 19:30,M.C.G.,62184,5,83,104,h,78,a,101,104,83,1,3,9,12,0,4,5,7,11,0,101,78,6,7,7,11,0,3,7,9,12,0
2009_PF_115_118,2009,PF,115,118,h,a,2009-09-18 19:45,M.C.G.,78245,7,60,115,h,53,a,118,115,60,0,3,7,9,0,2,6,6,6,0,118,53,2,4,6,7,0,5,7,7,11,0
2009_PF_104_107,2009,PF,104,107,a,h,2009-09-19 19:30,M.C.G.,87258,73,120,107,h,47,a,104,107,120,3,7,11,17,0,6,7,13,18,0,104,47,2,5,6,6,0,2,8,9,11,0
2009_GF_107_115,2009,GF,107,115,h,a,2009-09-26 14:30,M.C.G.,99251,12,80,107,h,68,a,115,107,80,3,7,9,12,0,0,1,4,8,0,115,68,3,7,9,9,0,2,7,11,14,0
2010_QF_107_115,2010,QF,107,115,a,h,2010-09-03 19:45,M.C.G.,63608,4,83,115,h,79,a,107,115,83,4,8,11,12,0,7,8,11,11,0,107,79,3,5,10,11,0,4,6,6,13,0
2010_EF_106_110,2010,EF,106,110,h,a,2010-09-04 13:20,Subiaco,42719,30,94,106,h,64,a,110,106,94,4,6,12,14,0,3,4,7,10,0,110,64,1,1,4,8,0,4,11,13,16,0
2010_QF_104_118,2010,QF,104,118,h,a,2010-09-04 19:20,M.C.G.,66545,62,124,104,h,62,a,118,104,124,3,7,11,17,0,6,15,18,22,0,118,62,0,3,5,8,0,5,7,11,14,0
2010_EF_103_116,2010,EF,103,116,a,h,2010-09-05 14:40,Stadium Australia,41596,5,99,116,h,94,a,103,116,99,6,11,11,14,0,6,8,11,15,0,103,94,4,7,12,13,0,3,8,12,16,0
2010_SF_106_107,2010,SF,106,107,a,h,2010-09-10 19:45,M.C.G.,45056,69,135,107,h,66,a,106,107,135,8,10,14,20,0,1,7,13,15,0,106,66,1,4,7,10,0,1,2,6,6,0
2010_SF_116_118,2010,SF,116,118,a,h,2010-09-11 19:20,M.C.G.,39596,5,77,118,h,72,a,116,118,77,3,5,8,11,0,4,6,9,11,0,116,72,3,8,8,10,0,4,4,9,12,0
2010_PF_104_107,2010,PF,104,107,h,a,2010-09-17 19:45,M.C.G.,95241,41,120,104,h,79,a,107,104,120,7,13,16,18,0,2,7,11,12,0,107,79,1,3,6,11,0,1,5,10,13,0
2010_PF_115_118,2010,PF,115,118,h,a,2010-09-18 19:20,M.C.G.,62694,24,88,115,h,64,a,118,115,88,1,3,10,13,0,5,6,10,10,0,118,64,3,4,5,8,0,1,6,9,16,0
2010_GF_104_115,2010,GF,104,115,a,h,2010-09-25 14:30,M.C.G.,100016,0,68,100,d,68,d,100,115,68,3,4,7,10,0,2,2,5,8,0,104,68,4,7,7,9,0,2,8,13,14,0
2010_GFR_104_115,2010,GFR,104,115,h,a,2010-10-02 14:30,M.C.G.,93853,56,108,104,h,52,a,115,104,108,3,6,11,16,0,2,5,8,12,0,115,52,0,1,4,7,0,2,8,9,10,0
2011_QF_107_110,2011,QF,107,110,h,a,2011-09-09 19:45,M.C.G.,73601,31,98,107,h,67,a,110,107,98,2,7,12,14,0,0,2,6,14,0,110,67,3,4,7,9,0,5,8,12,13,0
2011_QF_104_117,2011,QF,104,117,h,a,2011-09-10 14:20,M.C.G.,67502,20,82,104,h,62,a,117,104,82,1,7,10,12,0,1,5,7,10,0,117,62,2,5,6,9,0,3,4,5,8,0
2011_EF_115_116,2011,EF,115,116,a,h,2011-09-10 19:20,Docklands,39205,25,82,116,h,57,a,115,116,82,2,7,8,12,0,4,6,9,10,0,115,57,1,3,7,8,0,3,4,7,9,0
2011_EF_103_105,2011,EF,103,105,h,a,2011-09-11 14:40,M.C.G.,90370,62,149,103,h,87,a,105,103,149,4,10,17,21,0,5,12,17,23,0,105,87,3,4,8,13,0,4,7,9,9,0
2011_SF_110_116,2011,SF,110,116,h,a,2011-09-16 19:45,M.C.G.,55198,36,122,110,h,86,a,116,110,122,3,10,12,19,0,5,5,6,8,0,116,86,0,4,9,13,0,1,1,6,8,0
2011_SF_103_117,2011,SF,103,117,a,h,2011-09-17 17:50,Subiaco,42803,3,101,117,h,98,a,103,117,101,1,9,11,15,0,3,3,8,11,0,103,98,4,7,10,15,0,1,4,5,8,0
2011_PF_104_110,2011,PF,104,110,h,a,2011-09-23 19:45,M.C.G.,87112,3,68,104,h,65,a,110,104,68,2,3,5,10,0,3,5,6,8,0,110,65,2,4,7,9,0,4,7,11,11,0
2011_PF_107_117,2011,PF,107,117,h,a,2011-09-24 14:20,M.C.G.,59455,48,117,107,h,69,a,117,107,117,5,8,15,17,0,7,11,14,15,0,117,69,2,5,7,10,0,3,4,6,9,0
2011_GF_104_107,2011,GF,104,107,a,h,2011-10-01 14:30,M.C.G.,99537,38,119,107,h,81,a,104,107,119,4,8,13,18,0,3,6,7,11,0,104,81,4,9,12,12,0,2,3,6,9,0
